id,company_name,company_sector,company_size_est,city,decision_maker_name,title,linkedin_url,email_guess,confidence,notes,email_status,email_valid
59,Bosch Service Solutions Hungary,IT / BPO,201-500,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/bosch-service-solutions/,,MEDIUM,Service delivery center. Office workforce.,NO_EMAIL,NO
60,Randstad Hungary,HR Services,101-250,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/randstad-hungary/,,MEDIUM,HR services - very AI-adjacent company.,NO_EMAIL,NO
61,Hays Hungary,Recruitment,51-150,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/hays/,,MEDIUM,Global recruiter. HU office.,NO_EMAIL,NO
62,HumanField,Executive Search,51-100,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/humanfield/,,MEDIUM,Top HU recruiter. AI use case: candidate screening.,NO_EMAIL,NO
63,Manpower Hungary,HR Services,51-150,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/manpowergroup/,,MEDIUM,HR staffing.,NO_EMAIL,NO
64,Adecco Hungary,HR Services,51-150,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/adecco/,,MEDIUM,HR staffing and outsourcing.,NO_EMAIL,NO
65,Sycorax Digital,Digital Marketing,51-100,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/sycorax-digital/,,MEDIUM,Digital marketing agency. Content AI is daily topic.,NO_EMAIL,NO
66,iCONNECT,Digital Agency / IT,51-100,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/iconnect/,,MEDIUM,Digital transformation agency.,NO_EMAIL,NO
67,Netmedia,Digital Media / Advertising,51-150,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/netmedia/,,MEDIUM,Online media company. Content-heavy.,NO_EMAIL,NO
68,Publicus Hungary,PR / Communications,51-100,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/publicus/,,MEDIUM,Communications firm. Writing = AI primary use.,NO_EMAIL,NO
69,Promo Sapiens,Marketing / Promotions,51-100,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/promo-sapiens/,,MEDIUM,Marketing agency.,NO_EMAIL,NO
70,Limelight Networks Hungary,Media / CDN,101-200,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/limelight-networks/,,MEDIUM,Global CDN. HU tech team.,NO_EMAIL,NO
71,Gartner Hungary,Research & Advisory,101-200,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/gartner/,,MEDIUM,Global research. HU sales/support center.,NO_EMAIL,NO
72,MSCI Hungary,Financial Data,101-250,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/msci-inc/,,MEDIUM,Financial analytics. Budapest delivery center.,NO_EMAIL,NO
73,ING Hubs Hungary,Banking / Finance,201-500,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/ing-hubs/,,MEDIUM,ING European hub in Budapest.,NO_EMAIL,NO
74,Société Générale Hungary,Banking,201-500,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/société-générale/,,MEDIUM,French bank HU operations center.,NO_EMAIL,NO
75,BNP Paribas Hungary,Banking,201-500,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/bnp-paribas/,,MEDIUM,French bank HU service center.,NO_EMAIL,NO
76,Aon Hungary,Insurance Consulting,101-250,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/aon/,,MEDIUM,Risk and insurance brokerage.,NO_EMAIL,NO
77,Marsh Hungary,Insurance Consulting,51-150,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/marsh/,,MEDIUM,Risk management.,NO_EMAIL,NO
78,Willis Towers Watson Hungary,HR / Insurance Consulting,51-150,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/wtwco/,,MEDIUM,HR consulting with analytics focus.,NO_EMAIL,NO
79,Mercer Hungary,HR Consulting,51-100,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/mercer/,,MEDIUM,HR and benefits consulting.,NO_EMAIL,NO
80,Hay Group Hungary,Management Consulting,51-100,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/korn-ferry/,,MEDIUM,Part of Korn Ferry. Management consulting.,NO_EMAIL,NO
81,A.T. Kearney Hungary,Management Consulting,51-100,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/kearney/,,LOW,Global consulting. Small HU office.,NO_EMAIL,NO
82,BCG Hungary,Strategy Consulting,51-100,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/boston-consulting-group/,,LOW,Global consulting. Growing HU presence.,NO_EMAIL,NO
83,Bain Hungary,Strategy Consulting,50-80,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/bain-and-company/,,LOW,Small HU office of global firm.,NO_EMAIL,NO
84,Horváth & Partners,Management Consulting,51-150,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/horváth/,,MEDIUM,German-origin management consulting. HU office.,NO_EMAIL,NO
85,Mazars Hungary,Audit / Tax Consulting,101-200,Budapest,TBV - Partner / HR vezető,Partner,https://www.linkedin.com/company/mazars/,,MEDIUM,International audit. HU operation.,NO_EMAIL,NO
86,Grant Thornton Hungary,Audit / Advisory,101-200,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/grant-thornton/,,MEDIUM,Mid-size audit and advisory.,NO_EMAIL,NO
87,BDO Hungary,Audit / Advisory,101-200,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/bdo/,,MEDIUM,Global audit. HU office.,NO_EMAIL,NO
88,Clyde & Co Hungary,Legal Services,51-100,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/clyde-co/,,MEDIUM,International law firm. HU office.,NO_EMAIL,NO
89,DLA Piper Hungary,Legal Services,51-100,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/dla-piper/,,MEDIUM,Major international law firm. HU office.,NO_EMAIL,NO
90,Baker McKenzie Hungary,Legal Services,51-100,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/baker-mckenzie/,,MEDIUM,Global law firm. HU office.,NO_EMAIL,NO
91,Wolf Theiss Hungary,Legal Services,51-100,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/wolf-theiss/,,MEDIUM,CEE law firm. HU is key office.,NO_EMAIL,NO
92,Noerr Hungary,Legal Services,51-100,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/noerr/,,MEDIUM,German law firm. HU office.,NO_EMAIL,NO
93,Magyar Posta,Logistics / Services,1000+,Budapest,TBV - L&D vezető,Learning & Development Manager,https://www.linkedin.com/company/magyar-posta/,,LOW,State company. L&D department. Slow but big ticket.,NO_EMAIL,NO
94,Wizz Air,Aviation,1000+,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/wizzair/,,LOW,Large airline. HU origin. Office workforce sizable.,NO_EMAIL,NO
95,Bónusz Brigád,E-commerce / Deals,51-150,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/bónuszbrigád/,,MEDIUM,Hungarian deals platform.,NO_EMAIL,NO
96,Foodpanda Hungary,Food Delivery,101-250,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/foodpanda/,,MEDIUM,Food delivery. Office and ops staff.,NO_EMAIL,NO
97,Wolt Hungary,Food Delivery / Tech,101-250,Budapest,TBV - Country Manager,Country Manager,https://www.linkedin.com/company/wolt-oy/,,MEDIUM,Fintech-adjacent. Tech-forward team.,NO_EMAIL,NO
98,Bolt Hungary,Mobility / Tech,51-150,Budapest,TBV - Country Manager,Country Manager,https://www.linkedin.com/company/bolt-eu/,,MEDIUM,Ride-sharing tech. Growing HU team.,NO_EMAIL,NO
99,SPAR Hungary,Retail,1000+,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/spar-magyarország/,,LOW,Large retail. Office workforce = training target.,NO_EMAIL,NO
100,Euronics Hungary,Electronics Retail,201-500,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/euronics-group/,,MEDIUM,Electronics retail chain. Office + store management.,NO_EMAIL,NO
101,Praktiker Hungary,Retail (DIY),201-500,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/praktiker/,,MEDIUM,DIY retail. HU office management team.,NO_EMAIL,NO
102,Decathlon Hungary,Sports Retail,201-500,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/decathlon/,,MEDIUM,Sports retail. French origin,NO_EMAIL,NO
103,JYSK Hungary,Furniture Retail,201-500,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/jysk/,,MEDIUM,Furniture retail. Scandinavian,NO_EMAIL,NO
104,Getresponse Hungary,MarTech / Email,51-200,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/getresponse/,,MEDIUM,Email marketing SaaS. Tech company.,NO_EMAIL,NO
105,Kliens.hu (now Growww),Digital Agency,51-100,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/growww/,,MEDIUM,Digital marketing agency. Content-heavy.,NO_EMAIL,NO
106,Webfejlesztés.hu / Webshark,Web Agency,51-100,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/webshark/,,MEDIUM,Web dev agency.,NO_EMAIL,NO
107,Emarsys (now SAP Emarsys),MarTech,201-500,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/emarsys/,,MEDIUM,HU-origin MarTech acquired by SAP.,NO_EMAIL,NO
108,Stylers Group,IT Services,51-150,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/stylers/,,MEDIUM,IT services and consulting.,NO_EMAIL,NO
109,Cloudbreaker,Cloud / DevOps,51-100,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/cloudbreaker-lt/,,MEDIUM,Cloud consulting.,NO_EMAIL,NO
110,CCC Hungary (shoes retail),Retail,201-400,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/ccc-polska/,,MEDIUM,Polish shoe retailer. Large HU operation.,NO_EMAIL,NO
111,Auchan Hungary,Retail,1000+,Budapest,TBV - L&D vezető,Learning & Development Manager,https://www.linkedin.com/company/auchan/,,LOW,French hypermarket. Large HU office team.,NO_EMAIL,NO
112,Háda Textile,Retail / E-commerce,51-150,Pécs,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/háda-textilker/,,LOW,Hungarian clothing retailer.,NO_EMAIL,NO
113,Libri-Bookline,Retail / Publishing,101-250,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/libri-könyvkereskedelmi-kft/,,MEDIUM,Bookstore chain + e-commerce.,NO_EMAIL,NO
114,Allegro Hungary (now Eucom),E-commerce,51-150,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/allegro/,,MEDIUM,Polish e-commerce platform. HU operations.,NO_EMAIL,NO
115,Easystaff / Profession.hu,Job Board / HR Tech,51-150,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/profession-hu/,,MEDIUM,Leading HU job portal.,NO_EMAIL,NO
116,Karrier.hu,Job Board,51-100,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/karrier.hu/,,MEDIUM,Job portal. Knowledge worker company.,NO_EMAIL,NO
117,Softgarden Hungary,HR Tech,51-100,Budapest,TBV - Ügyvezető,Ügyvezető,https://www.linkedin.com/company/softgarden/,,MEDIUM,Recruitment software. AI-adjacent.,NO_EMAIL,NO
118,Médiamarkt Hungary,Electronics Retail,201-500,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/mediamarkt/,,MEDIUM,German electronics retail. Large HU operation.,NO_EMAIL,NO
119,Telekom T-Home,Telecom / IT,501-1000,Budapest,TBV - L&D vezető,Learning & Development Manager,https://www.linkedin.com/company/magyartelekom/,,MEDIUM,Consumer and business telecom division.,NO_EMAIL,NO
120,TATA Consultancy Services Hungary,IT Services,201-500,Budapest,TBV - HR igazgató,HR igazgató,https://www.linkedin.com/company/tata-consultancy-services/,,MEDIUM,Global IT services. Budapest delivery center.,NO_EMAIL,NO
